"","x"
"25","Por eso es tan importante que la Ley de 'Solo sí es sí' elimine la distinción entre abuso y violación.

¿Si te violan en grupo, cómo no va a estar “probada” la intimidación?

Es justicia patriarcal.
https://t.co/VTm8nhZD27 https://t.co/oG6epaQrFp"
"26","Lo que estamos conociendo sobre el PP es de una gravedad extrema. 

Son tantos ya los casos que parece que nos hemos acostumbrado, pero no vendría mal recordar que en cualquier otro país europeo el PP ya no existiría, desaparecería o lo ilegalizarían por organización criminal."
"27","El borrador de la futura #LeyTrans es producto de una amplísima participación ciudadana y de haber escuchado la voz, reivindicaciones y necesidades de las personas trans. Confío en que este país siga estando, como ha estado hasta hoy, en la vanguardia de los derechos sociales. https://t.co/gBpu1EM0Ce"
"28","<U+0001F4FA> @Yolanda_Diaz_: ""Confío en mi país, confío en que la #LeyTrans se tramite lo antes posible y, desde luego, saludar el excelente trabajo que la ministra de Igualdad está desarrollando"". #Lascosasclaras55 https://t.co/CVUyyXrBFJ"
"29","<U+0001F4FA> @Yolanda_Diaz_: ""La simple respuesta del ERTE no es suficiente para las y los trabajadores. Debemos abrir una reflexión con sectores como el turismo, el ocio, la cultura o los transportes para ayudarles conjuntamente con las Comunidades Autónomas"". #Lascosasclaras55 https://t.co/2X84utnmLy"
"30","Aznar, calienta que sales. https://t.co/xJ5iCdZQR5"
"31","El 25% de la deuda en la Eurozona está en manos del BCE. Nos la debemos a nosotros mismos. <U+2066>Un centenar de economistas proponemos cancelar esa deuda a cambio de que los países afronten inversiones equivalentes en la reconstrucción ecológica y social. https://t.co/1nxIYw3HWX"
"32","La ultraderecha que alaba a la guardia civil y después la agrede es la misma que lleva la bandera de España mientras la saquea.

Su hipocresía no conoce límites. Y su odio y violencia tampoco. https://t.co/iV4hAg2mez"
"33","Cajas B, periodistas a sueldo, amenazas, chantajes, jueces al dictado, secuestro del CGPJ...

SON CLOACAS

¡Que no vuelvan! https://t.co/UT4fqpCTP4"
"34","https://t.co/QQ4xK3M83q https://t.co/xuJGc3oY9H"
"35","Ahora dice Casado que ese PP ya no existe…

Si no existiese, tú, exjefe de gabinete de Aznar y portavoz del PP con Rajoy, estarías en tu casa o condenado. 

Por eso seguís bloqueando la renovación de la cúpula del Poder Judicial colocada por el PP, porque seguís siendo mafia."
"36","La participación es la única manera de evitar que otros hagan política por ti anteponiendo sus intereses.

Hoy abrimos una Consulta Pública a la Juventud para conocer sus preocupaciones. Hasta el día 25 aporta a la Estrategia de Desarrollo Sostenible.
<U+27A1><U+FE0F>https://t.co/6LALpJyRpw https://t.co/4zVZGl27ST"
"37","Pues ya van más de 40 años robando a manos llenas a todos los españoles, y si trazamos la línea que une al PP, Alianza Popular y el franquismo, tenemos más de medio siglo de expolio. 

Fue, es y será su forma de entender el ejercicio público: una oportunidad para hacer caja. https://t.co/eLKLwaULHt"
"38","Contamos con el consenso popular y la voluntad política.

Será ley. <U+0001F4AA><U+0001F49C>

https://t.co/NdIIeS4ZUp"
"39","<U+25B6><U+FE0F>@jessicaalbiach: “Hem d'arribar a una inversió del 7% del PIB en sanitat pública per igualar-nos a la mitjana europea, millorar les ràtios de professionals sanitaris i deixar de sobrecarregar-los de feina, així com desprivatitzar el servei”. 

#ElCanviQueCatalunyaMereix https://t.co/CjUyjcyHYx"
"40","Si @PODEMOS no estuviera en el gobierno: 

<U+0001F475><U+0001F3FC> hubieran recortado las pensiones
<U+0001F3E1> no se habrían prohibido los desahucios
<U+0001F9F0> no se hubieran prorrogrado los ERTEs
<U+0001F926><U+0001F3FB><U+200D><U+2640><U+FE0F> tendríamos un pacto de presupuestos con Cs

A ver si los que pintan poco no somos nosotros.

https://t.co/4jbhHxDnRg"
"41","Para poder recuperar su cuenta y poner este tuit han tenido que aceptar el borrado de un tuit xenófobo.

Lo único que queda claro aquí es que su odio y xenofobia sí se pueden parar.

También queda claro que no van a renunciar a esas multinacionales de las que tanto dicen renegar. https://t.co/aoDllD9oGy"
"42","En EE.UU un tratamiento contra el COVID le cuesta al paciente 35.000 euros. 

En España el tratamiento es gratuito gracias a la sanidad pública que se financia con los impuestos de todos. 

El debate es muy fácil: o eres solidario o eres insolidario, lo demás son excusas."
"43","@juanrallo ¡Qué sorpresa tu respuesta, Juan! Pensábamos que un economista como tú no pondría en riesgo la mitad de sus Patreon que provienen de voxeros populistas y liberticidas <U+0001F61C>"
"44","PP: Episodio II - Bárcenas contraataca https://t.co/JjikGBp5U0"
"45","Mañana estaré en Barcelona con @jessicaalbiach y @AdaColau en un acto online. Echaremos de menos el cariño y apoyo de la militancia de otras campañas presenciales.

Demà parlarem de #ElCanviQueCatalunyaMereix que passa per un Govern feminista i per @EnComu_Podem https://t.co/kITKymlK9M"
"46","<U+0001F3A5> @jessicaalbiach: ""Catalunya és una terra de PIMES i de petit comerç, i necessitem que la innovació i les noves tecnologies es posin al seu abast.

Per això, volem impulsar un Amazon público-cooperatiu que acompanyi a les PIMES perquè puguin competir amb les grans plataformes"". https://t.co/HJg12jJmlh"
"47","<U+25B6><U+FE0F> @AdaColau: ""El meu desig com a alcaldessa és tenir a l’altre costat de la Pl. Sant Jaume algú amb qui sumar esforços pensant en la gent. Un Govern progressista amb @jessicaalbiach per portar el canvi que hem aconseguit fer a BCN també al Parlament.""

#MunicipalismeCatMereix https://t.co/P3CZpCT6H4"
"48","Gràcies a totes per la cançó i per participar-hi, especialment, a Miss Raissa. Espero que us hagi pogut arrencar un somriure i un ball en aquests moments difícils.
<U+0001F49C><U+0001F4AA><U+0001F3FC> #RapComuns https://t.co/nG2rLDXvhR"
