"","x"
"22","<U+2757><U+FE0F> Avui l'Oriol @junqueras i l'@ernestmaragall han estat a #VilaDeGràcia

<U+270A> Un matí emotiu, on el president d'@Esquerra_ERC empresonat per haver donat la veu a la gent, i el líder d'@ERCbcn a l'Ajuntament, han pogut parlar amb veïnat, comerciants i militància

#AlCostatDeLaGent https://t.co/J9uCWHRuyN"
"23","Feliç de compartir, aquest diumenge, escenari amb les companyes i companys d’@Esquerra_ERC.

Serà determinant que les forces independentistes guanyin aquestes eleccions, tant per a Catalunya com per a les altres nacions de l’Estat.

Bi herri, borroka bat!
https://t.co/eoIx3sHzjy"
"24","<U+0001F3A5> [VÍDEO] @junqueras: ""Hi ha un partit feixista que ens odia i que amenaça <U+274C> d'entrar al Parlament. I el PSC està disposat a acceptar els seus vots <U+0001F4E9>. L'únic partit que pot aturar el feixisme és @Esquerra_ERC. Davant aquesta amenaça tots estem cridats a mobilitzar-nos<U+270A>"" https://t.co/JQ12isTDMe"
"25","Avui debatrem amb @TeresaJorda i @martavilaltat sobre les polítiques transformadores d’@Esquerra_ERC per avançar en la sobirania alimentària del païs <U+0001F331><U+0001F469><U+200D><U+0001F33E><U+0001F958>

<U+2705>Per què el #14F votem republicanisme, sostenibilitat, progrès, igualtat i compromís pel territori!
#AlCostatDeLaGent https://t.co/O32NpCAfHY"
"26","<U+0001F3A5> @martavilaltat, a l'acte d'@Esquerra_ERC a #Lleida: 

""Volem exportar aquest <U+0001F51D>lideratge lleidatà, genuí de les nostres terres, cap al Govern del país. I sí: si @Esquerra_ERC volem ser útils #AlCostatDeLaGent, el vot <U+0001F4E9>cap a @Esquerra_ERC també és el més útil <U+270A>per a la gent"" https://t.co/vBB3BZ1CoT"
"27","Calvo diu que las mujeres somos la mayoría absoluta natural de la vida. Algú sap què vol dir?"
"28","Tot a punt, @wagensberg! Ara a les 16h a https://t.co/ve1mnZfwS4. https://t.co/FHQLDFMARs"
"29","<U+0001F3A5>[VÍDEO] @perearagones: ""Els socialistes i la resta de partits del 155 preparen el terreny per acceptar els vots del feixisme<U+274C>. Perquè només amb els vots del feixisme, els vots de Vox, seria possible imaginar Salvador Illa al capdavant de la Generalitat"" #AlCostatDeLaGent https://t.co/1sTNYdGCdy"
"30","Toma nota do acto central de @Esquerra_ERC no que participará @anaponton. Será este domingo 7 ás 12h. <U+0001F447> https://t.co/bhjUJiXlgJ"
"31","Moltes ganes de compartir escenari amb vosaltres! @ArnaldoOtegi @anaponton @dolorsbassac @martarovira @junqueras @EHBildu @obloque https://t.co/srTxjliTg6"
