"","x"
"25","“EL PSOE presenta a Illa como un supuesto salvador, cuando lo que va a hacer, como reconoció ayer Carmen Calvo es pactar con los independentistas como siempre. Ha estado más pendiente de contar votos que vacunas.”

<U+0001F449> @pablocasado_ en @HerreraenCOPE"
"26","“Triplicamos los datos de #paro juvenil de Europa, La pandemia es global, pero los efectos son peores en países con Gobiernos incompetentes.”

<U+0001F449> @pablocasado_ en @HerreraenCOPE"
"27","“En ningún país de Europa la solidaridad de los fondos depende del gabinete del presidente del Gobierno. Así empezaron los ERE en Andalucía, saltándose los controles y procedimientos.”

<U+0001F449> @pablocasado_ en @HerreraenCOPE"
"28","“El Gobierno estaba obligado a pedir el informe al Consejo de Estado al afectar a 2 competencias distintas y a regulación europea. Lo tiene Carmen Calvo, y deben enseñarlo hoy mismo. Hemos pedido la comparecencia de Mª Teresa Fdez. de la Vega.”

<U+0001F449> @pablocasado_ en @HerreraenCOPE"
"29","<U+0001F4FB> Nuestro presidente, @pablocasado_  estará hoy en @HerreraenCOPE. 

<U+0001F559> Puedes seguir la entrevista #EnDirecto a partir de las 09:05h.<U+0001F449><U+0001F3FD> https://t.co/KRUnFlkOIZ https://t.co/kEXjfaeEIj"
"30","<U+0001F535> Buenos días y #FelizViernes a todos <U+2615><U+FE0F>

Aquí os dejamos nuestra agenda para el día de hoy<U+0001F449><U+0001F3FD>https://t.co/3quq6iOQY2 https://t.co/B18P31npae"
"31","El informe del Consejo de Estado advierte de graves ilegalidades en el mecanismo del Gobierno para el reparto de los fondos europeos.
Si no se entrega el informe, va a quedar gravemente dañada la institución. 
Todo lo que toca Sánchez se acaba poniendo en cuestión. https://t.co/lQ1zKalZpt"
"32","¿Ha pactado la Fiscal General del Estado- exdiputada socialista y exministra de Sánchez- con Bárcenas para perjudicar al PP? ¿Forman parte las declaraciones del condenado Bárcenas de algún tipo de acuerdo? ¿Actúa el PSOE a través de la Fiscalía General del Estado?
#ElCascabel4F https://t.co/05TycNq45T"
"33","""Es importante que los partidos políticos aprendamos de nuestros errores, y nosotros hemos reconocido los nuestros. El @PPCatalunya crece porque ha sido capaz de encontrar de nuevo la utilidad para la sociedad"".

#UnaCataluñaMejor
<U+0001F4FB> @alejandroTGN en @BrujulaOndaCero"
"34","""El Partido Popular está creciendo de manera sólida en Cataluña y está ocupando un espacio político"".

#UnaCataluñaMejor
<U+0001F4FB> @alejandroTGN en @BrujulaOndaCero"
