"","x"
"23","Hauria de saber que no fa ni tres mesos que hem aprovat al @parlamentcat una modificació de la llei contra la #violènciamasclista per incloure noves realitats com ara la violència en l’àmbit digital. Per respecte a les dones que ho pateixen, rectifiqui."
"24","Definitivament, vicepresidenta Calvo, ha perdut els papers. Frivolitzar sobre un tema tan seriós és el súmmum de la irresponsabilitat.

1/2 https://t.co/rQ5Og5LWga"
"25","Gràcies a l'Observatori @CETT_UB. Tenim 3 prioritats per al sector turístic: garantir la supervivència i els llocs de treball amb més ajuts; reobrir amb més seguretat, tests i controls; i un model competitiu de turisme intel·ligent, de qualitat i sostenible. https://t.co/gfwhhcBeCA"
"26","Ens hem reunit amb entitats del tercer sector amb la @montsevilellac. Implementarem un pla de xoc urgent per a la seva revitalització a causa de la pandèmia, però també exigim que l’Estat compleix d’una vegada per totes amb la Llei de la Dependència.

#JuntsPerFer 
#JuntsPerSer https://t.co/LSUrEPq2Kk"
"27","Gràcies a la @Fatec per la reunió d'avui. La Federació d'Associacions de Gent Gran de Catalunya formada per persones implicades i amb una gran visió de la realitat i de les necessitats de futur. Ha estat un plaer conèixer i compartir propostes."
"28","Amenacen, agredeixen, assetgen, violen i assassinen massa dones cada dia com per aguantar persones tan miserables fent política. Espero que el candidat dels @socialistes_cat rectifiqui @carmencalvo_ i es disculpi públicament davant la societat catalana. https://t.co/LpqPzFKF0w"
"29","<U+0001F4F7> La cap de llista de @JuntsXCat a les comarques gironines, @GemmaGeis, i el número 3 per #Barcelona, @jcanadellb, es reuneixen amb @Pauridorsa, president de l'@AIJEC #Girona 

<U+0001F4D2> Han remarcat la necessitat de fer polítiques per promoure el talent, la formació i la innovació https://t.co/j9GKTwTMEj"
"30","Quin orgull comptar amb empreses com @Lavola1981, que acompanyen el país a fer possible una transició ecològica indispensable per combatre l'emergència climàtica! Hem visitat el seu ecoedifici amb @Anna_Erra i hem compartit els reptes per ser més resilients. @juntscatcentral https://t.co/UV77gYMKKL"
"31","Catalunya ha de seguir sent una potència industrial del sud d’Europa. Amb empreses com Esbelt, de #Manlleu, que s’inspira en l’#AgendaVerda per orientar la seva producció cap a l’economia circular.
@Anna_Erra @juntscatcentral https://t.co/2JOlAtPef4"
"32","Des del primer dia hem advertit la UE que tenir una doble moral es paga molt car. En la majoria de les nostres intervencions ens hi hem referit. Hem presentat preguntes a la CE sobre això... però han preferit protegir l'Estat espanyol abans que protegir els ciutadans europeus. https://t.co/30uohOdagd https://t.co/oMw8Y1U0oR"
"33","<U+0001F3A5> @LauraBorras: ""Cal incentivar l’ús de la llengua catalana en tots els sectors, especialment en els de més impacte social i comunicatiu: etiquetatge, justícia, producció audiovisual, videojocs, tecnologia... Que el català tingui futur passa per totes aquestes mesures"" https://t.co/7fQHvrk38q"
"34","<U+0001F3A5> @LauraBorras: ""Tenim dret a viure plenament en català. Hem de posar les eines, l'actitud i el compromís perquè això sigui possible. Malgrat tants anys de bones polítiques de normalització lingüística, el català està en retrocés sobretot pel que fa al seu ús social"" https://t.co/DdATm7NOu7"
"35","<U+0001F4C4> | MANIFEST | 

<U+0001F4DA> Compromís de Junts per Catalunya amb la llengua i la cultura

<U+0001F3A5> Recupera el vídeo de l'acte: https://t.co/zxkI30NLey

#JuntsPerSer #JuntsPerFer https://t.co/xIkFNB0kSU"
"36","<U+0001F5E3><U+FE0F> @LauraBorras: ""La llengua com a eix vertebrador, i la cultura com a capacitat transformadora que ens vincula amb el passat i ens projecta cap al futur. Volem viure plenament en català i gaudir de la cultura i que sigui aquest bé essencial que es vinculi en totes les àrees"" https://t.co/33Z0V7Iy0N"
"37","<U+0001F5E3><U+FE0F> @LauraBorras: ""La llengua catalana és l'element conformador de la identitat i la nació. La seva promoció ha de ser un objectiu prioritari de l'acció política. Des de la defensa quan la llengua és atacada, però de manera propositiva: cal posar-la al centre de les nostres vides"" https://t.co/WUP8b6ApNC"
"38","<U+0001F5E3><U+FE0F> @LauraBorras: ""Tenim tot el dret de viure plenament en català, i hem de posar les eines i l'actitud perquè això sigui possible. Malgrat totes les polítiques de normalització lingüística que s'han fet, el català està en retrocés sobretot pel que fa a l'ús social"" https://t.co/kcj9U73CRy"
"39","<U+0001F5E3><U+FE0F> @LauraBorras: ""La presència del català en el món digital és un repte fonamental de present i futur. Malgrat les persecucions, prohibicions i desqualificacions que durant tant de temps ha patit la nostra llengua, els catalans sempre hem tingut la voluntat de fer-la sobreviure"" https://t.co/ouXUfLT3Mn"
"40","<U+0001F5E3><U+FE0F> @LauraBorras: ""Avui som davant del @BSC_CNS, on s'està desenvolupant el projecte innovador #AINA, que generarà els recursos digitals i lingüístics per facilitar el desenvolupament en català dels assistents de veu, els traductors automàtics o els agents conversacionals"" https://t.co/glwTb6EkYX"
"41","<U+0001F4F7> Comença la presentació de les propostes de #Junts en l'àmbit de la cultura i el compromís amb la llengua amb la candidata @LauraBorras.

<U+0001F4CC> Segueix l'acte en directe al nostre canal de YouTube: https://t.co/zxkI30NLey

#JuntsPerSer #JuntsPerFer https://t.co/f6nN6dBRR9"
"42","<U+0001F4DA> Demà al migdia, la nostra candidata @LauraBorras presentarà les propostes de #Junts en l'àmbit de la cultura i el compromís amb la llengua. 

<U+0001F517> Podràs seguir l'acte en directe a través del nostre canal de YouTube: https://t.co/zxkI30NLey

#JuntsPerSer #JuntsPerFer https://t.co/EM8GtcRrjL"
"43","<U+0001F4F0> @LauraBorras: ""L'#1Oct va fallar la nostra capacitat de donar credibilitat a l'Estat, això ja no és així. No ens vam creure @sanchezcastejon quan deia que volia desjudicialitzar i què ha passat?""

<U+0001F4CC> Entrevista a @MonDiari: https://t.co/JHz97chUk1

#JuntsPerSer #JuntsPerFer https://t.co/qKTAD62fx5"
"44","<U+0001F3A5> Diari de campanya - Dia 7.

<U+0001F463> En aquest camí ens acompanyen moltes persones que ens aturen i ens fan reflexionar sobre tot el que ens ha precedit i tot el que ens queda per fer #Junts, sempre sota l'atenta mirada del president @KRLS des de l'exili.

#JuntsPerSer #JuntsPerFer https://t.co/N0H1r5yeLO"
"45","<U+0001F4CC>Jornada carregada d'emocions per a l'equip de @JXCatTdLleida, que ha pogut gaudir de la visita a Lleida del secretari general @jordialapreso

#JuntsPerFer #JuntsPerSer https://t.co/9chHmwtB5A"
"46","<U+0001F699> Les furgonetes de @JXCatTdLleida continuen recorrent municipis per portar les propostes del partit a tots els indrets de Lleida, l’Alt Pirineu i Aran i evitar desplaçaments dels veïns i veïnes

#JuntsPerFer #JuntsPerSer #JuntsFemRuta https://t.co/paRM2K7Ulg"
"47","<U+0001F4F7> Bon dia!

<U+0001F4E2> Comença la trobada virtual de la cap de llista de @JuntsxCat a comarques gironines, @GemmaGeis i el número 3 per #Barcelona, @jcanadellb amb empresaris de la Selva, el Pla de l'Estany i el Gironès https://t.co/Pwni2kPwbe"
"48","No us perdeu aquesta entrevista a la candidata de <U+2066>@JuntsXCat<U+2069> a les comarques gironines: ‘S’ha de governar reconeixent la diversitat del territori’ Molt gran <U+2066>@GemmaGeis<U+2069> <U+0001F4AA><U+0001F3FD><U+0001F49B><U+0001F397> https://t.co/OKF3MeNOca"
"49","Com a bomber que he estat durant més de 10 anys, us dono les gràcies @miriamnoguerasM @miquel_samper https://t.co/wcR5kXMJWr"
"50","Previsible. La capacitat de fer mal del #TSJC sembla no tenir límits, són uns autèntics irresponsables.

Un 25% dels convocats a les meses electorals han demanat no anar-hi https://t.co/bUEgIf6puv"
"51","<U+0001F4F0> @LauraBorras: ""Davant la intransigència de l'Estat, la unilateralitat és perfectament legitimada""

<U+0001F4CC> Llegeix l'entrevista a @VilaWeb: https://t.co/hwg73ICTmC

#JuntsPerSer #JuntsPerFer https://t.co/9HobGgZNNG"
"52","<U+0001F3A5> @LauraBorras a @SERCatalunya: ""La repressió és un dels problemes d'anormalitat democràtica. No donarem crèdit a un govern que rescata bancs, militars i toreros, i que no rescata a la gent que ho necessita. Patim un doble espoli, el fiscal i el de la incompetència""

#AquíDebat https://t.co/12hGo5n1Q4"
"53","<U+0001F3A5> @LauraBorras a @SERCatalunya: ""Quan defensàvem rebaixar l'IVA dels productes sanitaris ens deien que no era possible, i resulta que la setmana dels #PGE2021 ho van fer. Si parlem de xifres, el BCE ens diu que Espanya és líder en defuncions i està a la cua en ajuts""

#AquíDebat https://t.co/XuDGrd6bsr"
"54","<U+0001F3A5> @LauraBorras a @SERCatalunya: ""La pandèmia ha demostrat que cal fer una atenció integral entre les àrees de salut i els problemes de dependència. Tenim un problema de base: l'infrafinançament crònic de Salut a Catalunya. El dèficit fiscal és també dèficit sanitari""

#AquíDebat https://t.co/TAfugA1CHv"
"55","<U+0001F3A5> @LauraBorras a @SERCatalunya: ""Proposem un augment pressupostari de 5.000 milions d'€ a Salut per millorar les condicions laborals dels professionals sanitaris, dotar els hospitals de totes les eines i equipaments tecnològics per liderar la investigació biomèdica""

#AquíDebat https://t.co/d5FCTj5uZ1"
"56","<U+0001F399><U+FE0F> Comença el debat electoral de la @SERCatalunya amb la nostra candidata a la presidència @LauraBorras. 

<U+0001F4CC> Segueix el debat en directe: https://t.co/6WrXtvkkJc

#JuntsPerSer #JuntsPerFer https://t.co/38qzpvWAga"
"57","5<U+20E3> Enfortir l'Atenció Primària
6<U+20E3> Impulsar les polítiques de recerca, desenvolupament i innovació
7<U+20E3> Desenvolupament d'un Pacte Nacional per la Salut Mental
8<U+20E3> Reducció del temps d'espera per a proves diagnòstiques i intervencions quirúrgiques 

#JuntsPerSer #JuntsPerFer https://t.co/eLLekYgxoK"
"58","<U+2714><U+FE0F> Propostes per reforçar el sistema de salut de Catalunya: 

1<U+20E3> Augmentar el pressupost en 5.000 M€
2<U+20E3> Creació de l'Agència d'atenció integrada, social i sanitària
3<U+20E3> Doblar el pressupost de l'Agència Catalana de Salut Pública
4<U+20E3> Millorar les condicions dels professionals https://t.co/szPInVIGGG"
"59","<U+0001F4E2> I demà al vespre, acabem el dia amb l'acte #JuntsPerFigueres.

<U+0001F5E3><U+FE0F> Amb el president @KRLS, la candidata @LauraBorras, la cap de llista de @JuntsGirona @GemmaGeis i els candidats @tionroquer i @jmbernils. 

<U+0001F4CC> En directe a: https://t.co/AJG4oICItn

#JuntsPerSer #JuntsPerFer https://t.co/OUdJY9JeIR"
"60","<U+0001F4DA> Demà al migdia, la nostra candidata @LauraBorras presentarà les propostes de #Junts en l'àmbit de la cultura i el compromís amb la llengua. 

<U+0001F517> Podràs seguir l'acte en directe a través del nostre canal de YouTube: https://t.co/zxkI30NLey

#JuntsPerSer #JuntsPerFer https://t.co/EM8GtcRrjL"
"61","<U+0001F399><U+FE0F> Demà a partir de les 8.30 h, no et perdis el debat electoral de la @SERCatalunya amb la nostra candidata a la presidència @LauraBorras. 

<U+0001F4CC> Podràs seguir el debat en directe: https://t.co/3uRgXR73Qx

#JuntsPerSer #JuntsPerFer https://t.co/J2x4ed19p9"
"62","<U+0001F534> Necessitem construir el nostre Estat, i gran part de la resposta és a les nostres mans. El #14f hem de guanyar tres majories: l'independentisme al Parlament; superar el 50% dels vots i la victòria de @JuntsXCat per garantir un govern independentista <U+0001F449> https://t.co/c54M5RWwFp https://t.co/1Aq17BkSKa"
"63","<U+0001F4F9> La transició d’una economia lineal a una de circular és indefugible
 
<U+2705> La Llei de l’Economia circular incorporarà l’eficiència en l’ús de materials
 
<U+0001F5F3>@JuntsXCat garantirà el creixement econòmic i la cohesió social i territorial
 
#14F
#JuntsPerFer
#JuntsPerSer https://t.co/v9DCkKbjxm"
"64","Aquest vespre amb el conseller @damiacalvet a Salou hem defensat que el #14F hem d’anar votar sense por i fer-ho per tenir un govern fort, que gestioni amb rigor la sortida de la crisi i avanci cap a la independència.

#JuntsPerFer
#JuntsPerSer https://t.co/LRdcFEk9XN"
"65","El país que volem fer i ser, amb més oportunitats per a tothom, necessita millors eines. L’emergència sanitària i climàtica ens ho demostra. La independència és justícia social i econòmica!

A Salou amb @albertbatet i els candidats i candidates de @JuntsXCat de la Costa Daurada! https://t.co/VSNDEfLuuL"
"66","Una de les coses que més hem treballat aquesta legislatura des del departament de la Presidència ha estat tornar a recuperar el contacte i la confiança entre la Generalitat i els ajuntaments, tal com he pogut comprovar aquest matí a @AjSils i @ajvidreres https://t.co/Wdn7BoFjZA"
"67","He visitat el @CN_banyoles i el @geieg1919, dos clubs que han participat en el programa pilot de cribratges esportius i el percentatge de positius de #covid19 és inferior al 0,6% i això fa evident que l'esport és una pràctica segura. https://t.co/wo0m1fywnC"
"68","Una veritable LOAPA contra el cos de bombers de Catalunya, competent i amb model propi. Aquest atac porta el segell del govern més dialogant i progressista: una vergonya. Quan diuen que volen governar des de Madrid és per fer coses com aquestes. Gràcies @miriamnoguerasM! https://t.co/GhhOg09SGm"
